title,soldprice,solddate,bids,link
Charizard Base Set Holo Rare Pokemon Card 4/102 Wotc Vintage USED 1999,227.5,"Sold  Jan 17, 2021Sold Item",20 bids,https://www.ebay.com/itm/Charizard-Base-Set-Holo-Rare-Pokemon-Card-4-102-Wotc-Vintage-USED-1999/224310429808?hash=item3439f18870%3Ag%3Ab8wAAOSwUAJf-b-5&LH_Auction=1
PSA 9 MINT Pokemon Champions Path Secret Rare Shiny Charizard V Card 079/073,330.0,"Sold  Jan 17, 2021Sold Item",47 bids,https://www.ebay.com/itm/PSA-9-MINT-Pokemon-Champions-Path-Secret-Rare-Shiny-Charizard-V-Card-079-073/233859867658?hash=item367322640a%3Ag%3AhbwAAOSwOQ9fyA9h&LH_Auction=1
New Listing Pokemon Champions Path Charizard V Full Art Promo 12 Card Lot - PACK FRESH!!,100.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/Pokemon-Champions-Path-Charizard-V-Full-Art-Promo-12-Card-Lot-PACK-FRESH/393099717010?hash=item5b8691a992%3Ag%3AiOcAAOSwWtFgBIdc&LH_Auction=1
COMPLETE TEAM ROCKET SET 82/82 POKEMON CARDS DARK CHARIZARD BLASTOISE DRAGONITE,1059.32,"Sold  Jan 17, 2021Sold Item",71 bids,https://www.ebay.com/itm/COMPLETE-TEAM-ROCKET-SET-82-82-POKEMON-CARDS-DARK-CHARIZARD-BLASTOISE-DRAGONITE/254831248920?hash=item3b55204618%3Ag%3AqJ4AAOSwXwBf3n6z&LH_Auction=1
Pokemon Card 2006 EX Crystal Guardians Delta Species Charizard 4/100 LP-NM rare,99.93,"Sold  Jan 17, 2021Sold Item",33 bids,https://www.ebay.com/itm/Pokemon-Card-2006-EX-Crystal-Guardians-Delta-Species-Charizard-4-100-LP-NM-rare/224311169857?hash=item3439fcd341%3Ag%3A3PcAAOSwvdhf-r5s&LH_Auction=1
New ListingPokémon Vivid Voltage Charizard 025/185 Holo Pokemon Card PSA 10?,20.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/Pokemon-Vivid-Voltage-Charizard-025-185-Holo-Pokemon-Card-PSA-10/154295823575?hash=item23ecbf6cd7%3Ag%3AvhAAAOSwyi5gBHSF&LH_Auction=1
Charizard V 019/189 Darkness Ablaze Holo Rare Pokemon Card Pack Fresh Mint,12.39,"Sold  Jan 17, 2021Sold Item",7 bids,https://www.ebay.com/itm/Charizard-V-019-189-Darkness-Ablaze-Holo-Rare-Pokemon-Card-Pack-Fresh-Mint/383897574332?hash=item5962141bbc%3Ag%3Abx4AAOSwprZf-3Ia&LH_Auction=1
Charizard G Lv. X DP45 Holo Ultra Rare Pokemon Card,30.0,"Sold  Jan 17, 2021Sold Item",25 bids,https://www.ebay.com/itm/Charizard-G-Lv-X-DP45-Holo-Ultra-Rare-Pokemon-Card/193844436872?hash=item2d22075f88%3Ag%3AHJAAAOSwZYVf-3Hk&LH_Auction=1
Pokemon XY Evolutions Charizard 11/108 Rare Reverse Holo Card,78.0,"Sold  Jan 17, 2021Sold Item",14 bids,https://www.ebay.com/itm/Pokemon-XY-Evolutions-Charizard-11-108-Rare-Reverse-Holo-Card/203244445137?epid=13040465738&hash=item2f52501dd1%3Ag%3A2JIAAOSwsKdf-2y7&LH_Auction=1
Pokemon Card ☆ Base Set 2 Charizard  4/130 ☆ 100% Authentic WOTC,353.11,"Sold  Jan 17, 2021Sold Item",39 bids,https://www.ebay.com/itm/Pokemon-Card-Base-Set-2-Charizard-4-130-100-Authentic-WOTC/254831232974?hash=item3b552007ce%3Ag%3AikMAAOSwtCBf8e1A&LH_Auction=1
